245a,362a,525a,785t,260a,260b,260c,780t,580a,300a,300b,310a,210a,550a,785c,245h,650v,id_inst,pub_location,lcsh,loc_call_num_subject,publisher,pub_date_numeric,online_avail,format,title_sort,language,title,holding_libs,id_oclc,call_num,title_link_friendly
Aide-mémoire de photographie.,v. 1-35; 1876-1910.,NA,NA,"Paris,",Gauthier-Villars.,NA,NA,NA,35 v.,ill.,Annual,NA,NA,NA,NA,Periodicals.,2018133,Paris,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Gauthier-Villars.,1876,1,Serial,Aide-mémoire de photographie,French,Aide-mémoire de photographie,"[CRL, FAL]",ocm06218765,[TR1 .A62],aidememoire-de-photographie
Amateur-Photograph.,Published Sept. 1866-June 1905.,NA,Photographische Welt.,"Leipzig,",E. Liesegang.,NA,NA,NA,v.,ill.,NA,NA,NA,NA,NA,NA,10530151,Leipzig,NA,NA,E. Liesegang.,1866,NA,Serial,Amateur-Photograph,German,Amateur-Photograph,[CRL],(Crl)b10108919,NA,amateurphotograph
The Amateur photographer.,"Vol. 1, no. 1 (Oct. 10, 1884)-v. 47, no. 1231 (May 5, 1908).",NA,"[Photographic news, Amateur photographer and photographic news]",London :,"[Hazell, Watson & Viney,",1884-1908],NA,"Merged with: Photographic news, May 12, 1908, to form: The Amateur photographer and photographic news.",47 v. :,ill.;,Weekly,NA,NA,NA,NA,NA,2014884,London,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],"[Hazell, Watson & Viney",1884,1,Serial,Amateur photographer,English,The Amateur photographer,"[CRL, FIG, FAL]",ocm04750397,[TR1 .A4],the-amateur-photographer
The Amateur photographer and photographic news.,"v. 47-67 (no. 1232-1758); May 12, 1908-June 10, 1918.",Many numbers have separately paged supplements.,"[Photography and focus, Amateur photographer & photography]","London,","Hazell, Watson & Viney.",NA,"[Photographic news, Amateur photographer]","[Formed by the union of: The Photographic news, and: Amateur photographer., Merged with: Photography and focus, to form: Amateur photographer & photography.]",21 v.,"ill., plates., diagrs.",NA,NA,NA,NA,NA,NA,2015625,London,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],"Hazell, Watson & Viney.",1908,1,Serial,Amateur photographer and photographic news,English,The Amateur photographer and photographic news,"[CRL, FIG, FAL]",ocm06288879,[TR1 .A4],the-amateur-photographer-and-photographic-news
The Amateur photographer & photography.,"v. 46-64 (no. 1545-2020); June 19, 1918-July 27, 1927.",NA,Amateur photographer & cinematographer,London,[Iliffe],NA,"[Amateur photographer and photographic news, Photography and focus]","Formed by the union of: The Amateur photographer and photographic news, and: Photography and focus.",19 v.,ill.,Weekly,NA,NA,NA,NA,Periodicals.,2015297,London,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],[Iliffe,1918,NA,Serial,Amateur photographer & photography,English,The Amateur photographer & photography,"[CRL, FAL]",ocm05632564,[TR1 .A38],the-amateur-photographer--photography
The Amateur photographer & cinematographer.,"v. 54-95 (no. 2021-2953); Aug. 3, 1927-June 13, 1945.",NA,Amateur photographer,"London,",[Iliffe],NA,"[Amateur photographer & photography, New photographer]",NA,32 v.,"ill., diagrs., ports.",Weekly,NA,NA,NA,NA,Periodicals.,6225763,London,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],[Iliffe,1927,NA,Serial,Amateur photographer & cinematographer,English,The Amateur photographer & cinematographer,[FAL],ocm05632438,[TR1 .A38],the-amateur-photographer--cinematographer
Amateur photographer.,"v. 95- (no. 2954- ); June 20,1945-",NA,NA,"[Sutton, etc.","IPC Business Press, etc.]",NA,Amateur photographer & cinematographer,NA,v.,ill.,Weekly,Amat. photogr.,NA,NA,NA,NA,6225533,"Sutton, etc.",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],"IPC Business Press, etc.",1945,NA,Serial,Amateur photographer,English,Amateur photographer,[FAL],ocm03989867,[TR1 .A35],amateur-photographer
American almanac of photography for ..,NA,NA,NA,"Cincinnati, Ohio :",Peter Smith.,NA,NA,NA,1 online resource (v.) :,ill.,NA,NA,NA,NA,NA,Periodicals.,13414509,"Cincinnati, Ohio",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Peter Smith.,NA,1,Serial,American almanac of photography for,English,American almanac of photography for,[CRL],(Crl)b28429199,[TR1 .A62],american-almanac-of-photography-for
The American amateur photographer.,"Vol. 1, no. 1 (July 1889)-v. 18, no. 12 (Dec. 1906).",NA,"[Camera and dark room, American amateur photographer and camera and dark room]","[New York, N.Y. :","American Photographic Pub. Co.,",1889-1906.,NA,"Merged with Camera and dark room to form: American amateur photographer and camera and dark room, in Jan. 1907.",v. :,ill. ;,NA,NA,NA,NA,NA,Periodicals.,2015486,"New York, N.Y.",[Photography United States Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],American Photographic Pub. Co.,1889,1,Serial,American amateur photographer,English,The American amateur photographer,"[CRL, FAL, FIG]",ocm07184737,[TR1 .A5],the-american-amateur-photographer
The American amateur photographer and camera & dark-room,"Vol. 19, no. 1 (Jan. 1907)-v. 19, no. 6 (June 1907).",NA,"[Photo beacon, American photography]",New York :,"American Photographic Pub. Co.,",1907,"[American amateur photographer, Camera and dark room]","[Formed by the union of: American amateur photographer, and: Camera and dark room., Merged with: Photo beacon, to form: American photography.]",1 v. :,ill. ;,Monthly,NA,NA,NA,[microform].,Periodicals.,4761330,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],American Photographic Pub. Co.,1907,1,Serial,American amateur photographer and camera & dark-room,English,The American amateur photographer and camera & dark-room,"[CRL, FAL]",ocn173693950,[TR1 .A62],the-american-amateur-photographer-and-camera
American photography.,"v. 1-47, no. 7; July 1907-July 1953.",NA,Photography,"[New York,",American Photographic Pub. Co.],NA,"[American amateur photographer and camera & dark-room, Photo beacon, Camera notes, Popular photography, Amateur photographer's weekly, Photo-craft, Photo-era magazine, Photo miniature, Photo technique, Camera craft]","[Formed by the union of: American amateur photographer and camera & dark-room, and: Photo beacon., Absorbed Camera notes in Jan. 1909; Popular photography in Jan. 1917; Amateur photographer's weekly in Nov. 1919; Photo-craft in Feb. 1920; Photo-era magazine in Apr. 1932; Photo miniature in Oct. 1939; Photo technique in Jan. 1942; Camera craft in Apr. 1942.]",47 v.,"ill., plates (part col.)",NA,Am. photogr.,"[Official organ of the Camera Club of New York, 1900-Apr. 1912; of the Photo Pictorialists of Buffalo, 1909-Dec. 1914; of the Boston Photo-Clan, Dec. 1911-Dec. 1914., Published by American Photographic Publishing Co.]",(Aug. 1952),NA,Periodicals.,6228739,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],American Photographic Pub. Co.,1907,1,Serial,American photography,English,American photography,"[FIG, FAL]",ocm01480563,[TR1 .A58],american-photography
Camera notes.,"v. 1-6, no. 4; July 1897-Dec. 1903.",NA,"[American amateur photographer, Photo-beacon, American photography]","New York,",Camera Club.,NA,Journal,Merged with American amateur photographer and Photo-beacon to form American photography.,6 v.,ill.,NA,NA,Official organ of the Camera Club of New York.,NA,NA,Periodicals.,2015622,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Camera Club.,1897,NA,Serial,Camera notes,English,Camera notes,"[CRL, FAL]",ocm06286528,[TR1 .C4],camera-notes
Popular photography.,"v. 1-4, no. 7; Oct. 1912-Apr. 1916",NA,American photography,"Boston,",American Photographic Pub. Co.,NA,NA,Merged into American photography.,4 v.,ill.,NA,NA,NA,NA,NA,NA,2014022,Boston,[Photography United States Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],American Photographic Pub. Co.,1912,1,Serial,Popular photography,English,Popular photography,"[FIG, CRL, FAL]",ocm02449799,[TR1 .A5],popular-photography
The Amateur photographer's weekly.,"Vol. 1, no. 1 (July 12, 1912)-v. 15, no. 380 (Oct. 17, 1919).",NA,American photography,"Cleveland, Ohio :","[J.C. Abel],",1912-1919.,"[Photoisms, Professional and amateur photographer]",NA,15 v. :,ill. ;,Weekly,NA,NA,NA,NA,Periodicals.,6226062,"Cleveland, Ohio",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],[J.C. Abel,1912,1,Serial,Amateur photographer's weekly,English,The Amateur photographer's weekly,"[FAL, FIG]",ocm08509433,[TR1 .A62],the-amateur-photographers-weekly
The Amateur photographer's weekly.,"Vol. 1, no. 1 (July 12, 1912)-v. 15, no. 380 (Oct. 17, 1919).",NA,American photography,"Cleveland, Ohio :","[J.C. Abel],",1912-1919.,"[Photoisms, Professional and amateur photographer]",NA,15 v. :,ill. ;,Weekly,NA,NA,NA,NA,Periodicals.,6226062,"Cleveland, Ohio",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],[J.C. Abel,1912,1,Serial,Amateur photographer's weekly,English,The Amateur photographer's weekly,"[FAL, FIG]",ocm08509433,[TR1 .A62],the-amateur-photographers-weekly
Photo craft;,V. 1 (Feb. 1918)-,NA,NA,Ann Arbor.,NA,NA,NA,NA,v.,illus.,Monthly,NA,NA,NA,NA,NA,6331174,Ann Arbor.,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],NA,1918,NA,Serial,Photo craft,English,Photo craft,[FAL],ocn229903921,[TR1 .A62],photo-craft
Photo-era.,"Vol. 1, no. 1 (May 1898)-v. 45, no. 12 (1920)",NA,Photo-era magazine,"Boston, Mass. :","New England Photo Era Pub. Co.,",1898-1920.,NA,NA,45 v. :,ill. ;,NA,NA,Official organ of the Photographers' Club of New England and the Valley Camera Club.,NA,NA,NA,2016398,"Boston, Mass.",NA,NA,New England Photo Era Pub. Co.,1898,1,Serial,Photo-era,English,Photo-era,"[CRL, FIG, FAL]",ocm07794196,NA,photoera
The Photo-miniature.,"Vol. 1, no. 1 (Apr. 1899)-v. 18, no. 205 (June 1932).",NA,"[New photo-miniature, American photography]","New York, N.Y. :","Tennant and Ward,",1899-1932.,NA,NA,18 v. :,ill. ;,Monthly,NA,NA,NA,NA,Periodicals.,2016223,"New York, N.Y.",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Tennant and Ward,1899,1,Serial,Photo-miniature,English,The Photo-miniature,"[CRL, FAL, FIG]",ocm07504890,[TR1 .P67],the-photominiature
Photo technique.,v. 1-3; June 1939-Dec. 1941.,NA,American photography,"[New York,",McGraw-Hill Pub. Co.],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6347956,New York,[Photography United States Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],McGraw-Hill Pub. Co.,1939,NA,Serial,Photo technique,English,Photo technique,[FAL],ocm01643285,[TR1 .A5],photo-technique
Camera craft.,"Began publication with v. 1, no. 1, May 1900 issue and ceased publication with v. 49, no. 3, Mar. 1942 issue.",NA,American photography,San Francisco :,"[Fayette J. Clute,",1900-1942],Western camera notes,NA,v. :,ill. ;,NA,NA,"Official organ of the Photographers' Association of California, Nov. 1922-Jan. 1925; and of other similar organizations.",NA,NA,NA,2013020,San Francisco,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],[Fayette J. Clute,1900,1,Serial,Camera craft,English,Camera craft,"[CRL, FIG, FAL]",ocm01775702,[TR1 .A62],camera-craft
Popular photography.,"v. 36, no. 2- Feb. 1955-Dec. 2002.",NA,Popular photography & imaging,"[Los Angeles, Calif., etc.,","CBS Magazines, etc.]",NA,"[Photography, Modern photography]",NA,v.,ill. (part col.),Monthly,Pop. photogr.,NA,NA,NA,"[Periodicals., Periodicals.]",133824,"Los Angeles, Calif., etc.","[Photography Periodicals., Cinematography Periodicals.]",[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],"CBS Magazines, etc.",1955,NA,Serial,Popular photography,English,Popular photography,[FAL],ocm01762661,[TR1 .P8845],popular-photography
Modern photography.,"[-v. 53, no. 7 (July 1989)., Began in Sept. 1949.]",NA,Popular photography,"[New York, N.Y. :","Photography Pub. Corp.,",#NAME?,Minicam photography,NA,v. :,ill. (part col.) ;,Monthly,Mod. photogr.,NA,NA,NA,Periodicals.,6334074,"New York, N.Y.",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Photography Pub. Corp.,1949,NA,Serial,Modern photography,English,Modern photography,[FAL],ocm01639391,[TR1 .M54],modern-photography
Minicam photography.,"Vol. 3, no. 6 (Feb. 1940)-v. 12, no. 11 (July/Aug. 1949).",NA,"Modern photography (New York, N.Y.)","[Cincinnati, Ohio :","Automobile Digest Pub. Corp.,",1940-1949.,Minicam,NA,10 v. :,ill. (some col.) ;,Monthly,NA,NA,NA,NA,Periodicals.,6334088,"Cincinnati, Ohio",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Automobile Digest Pub. Corp.,1940,NA,Serial,Minicam photography,English,Minicam photography,[FAL],ocm01757544,[TR1 .M54],minicam-photography
Minicam.,"Vol 1, no. 1 (Sept. 1937)-v. 3, no. 5 (Jan. 1940).",NA,Minicam photography,"[New York, N.Y. :","Minicam, Inc.,",1937-1940.,NA,NA,3 v. :,ill. ;,Monthly,NA,NA,NA,NA,Periodicals.,6334077,"New York, N.Y.",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],"Minicam, Inc.",1937,NA,Serial,Minicam,English,Minicam,[FAL],ocm01680746,[TR1 .M54],minicam
Popular photography & imaging.,"Vol. 67, no. 1 (Jan. 2003)-v. 72, no. 4 (Apr. 2008).",NA,Popular photography (2008),"New York, N.Y. :","Hachette Filipacchi Media,",Â©2002-Â©2008.,Popular photography,NA,volumes :,illustrations ;,Monthly,"[POPULAR PHOTOGRAPHY AND IMAGING, Pop. photogr. imaging]",NA,NA,NA,"[Periodicals., Periodicals.]",13620151,"New York, N.Y.","[Photography Periodicals., Cinematography Periodicals.]",[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Hachette Filipacchi Media,2003,1,Serial,Popular photography & imaging,English,Popular photography & imaging,[NET],ocm50741701,[TR1 .P8845],popular-photography--imaging
Popular photography.,"Began with vol. 72, no. 1 (Jan. 2008).",NA,NA,"New York, N.Y. :",Hachette Filipacchi Media,NA,Popular photography & imaging,NA,v. :,ill. ;,Monthly,NA,NA,NA,NA,"[Periodicals., Periodicals.]",11532685,"New York, N.Y.","[Photography Periodicals., Cinematography Periodicals.]",[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Hachette Filipacchi Media,2008,1,Serial,Popular photography,English,Popular photography,"[LAM, NET]",ocn225609876,[TR1 .P8845],popular-photography
The Photo-beacon.,"Vol. 5 (1893)-v. 19, no. 6 (June 1907).",NA,"[American amateur photographer, American photography]","Chicago, Ill. :","Photo-Beacon Co.,",1893-1907.,Beacon,"Merged with: American amateur photographer, to form: American photography.",15 v. :,ill. ;,NA,NA,NA,NA,NA,Periodicals.,2014018,"Chicago, Ill.",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Photo-Beacon Co.,1893,1,Serial,Photo-beacon,English,The Photo-beacon,"[CRL, FAL, FIG]",ocm08459682,[TR1 .A62],the-photobeacon
The Beacon.,v. 1-4; 1889-1892.,NA,Photo-beacon,"Chicago,",Beacon Pub. Co.,NA,NA,NA,4 v.,ill.,Monthly,NA,NA,NA,NA,Periodicals.,2018254,Chicago,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Beacon Pub. Co.,1889,NA,Serial,Beacon,English,The Beacon,"[CRL, FAL]",ocm06286596,[TR1 .A62],the-beacon
The American annual of photography and photographic times almanac.,1887-1902.,NA,American annual of photography and photographic times-bulletin almanac,New York :,"Scovill Manufacturing Co.,",1887-1902.,NA,NA,16 v. :,ill. ;,Annual,NA,NA,NA,NA,Periodicals.,2016775,New York,[Photography United States Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Scovill Manufacturing Co.,1887,NA,Serial,American annual of photography and photographic times almanac,English,The American annual of photography and photographic times almanac,"[CRL, FAL]",ocm08263506,[TR1 .A5],the-american-annual-of-photography-and
The American annual of photography and photographic times-bulletin almanac.,1903-1905.,NA,American annual of photography and photographic times almanac (1906),New York :,"Anthony & Scovill Co.,",1902-1904.,American annual of photography and photographic times almanac (1887),NA,3 v. :,ill. ;,Annual,NA,NA,NA,NA,Periodicals.,2016776,New York,[Photography United States Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Anthony & Scovill Co.,1903,NA,Serial,American annual of photography and photographic times-bulletin almanac,English,The American annual of photography and photographic times-bulletin almanac,"[CRL, FAL]",ocm08263514,[TR1 .A5],the-american-annual-of-photography-and
The American annual of photography and photographic times almanac.,1906-1907.,NA,American annual of photography,New York :,"Styles & Cash,",1905-1906.,American annual of photography and photographic times-bulletin almanac,NA,2 v. :,ill. ;,Annual,NA,NA,NA,NA,Periodicals.,2016777,New York,[Photography United States Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Styles & Cash,1906,NA,Serial,American annual of photography and photographic times almanac,English,The American annual of photography and photographic times almanac,"[CRL, FAL]",ocm08263521,[TR1 .A5],the-american-annual-of-photography-and
The American annual of photography.,"[1908-, Ceased in 1953.]",NA,Photography annual,New York :,"Tennant and Ward,",1907-,American annual of photography and photographic times almanac (1906),NA,v. :,"ill., plates, photos ;",Annual,NA,NA,NA,NA,Periodicals.,2015894,New York,[Photography United States Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Tennant and Ward,1908,1,Serial,American annual of photography,English,The American annual of photography,"[CRL, FAL, FIG]",ocm06945442,[TR1 .A55],the-american-annual-of-photography
Photography annual.,1951-,NA,NA,"[New York, etc.,",Ziff-Davis],NA,NA,NA,v.,ill. (part col.),Annual,Photogr. ann.,Compiled by the editors of Popular photography.,NA,NA,"[Periodicals., Periodicals.]",6352114,"New York, etc.","[Photography Periodicals., Photography, Artistic Periodicals.]",[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Ziff-Davis,1951,NA,Serial,Photography annual,English,Photography annual,[FAL],ocm01325878,[TR1 .P8813],photography-annual
The American journal of photography.,"[Began publication 1852., Ceased publication with n.s. Vol. 9 (1867).]",NA,NA,New York :,"Seely & Garbanati,",1852-1867.,NA,NA,15 v. :,ill. ;,NA,NA,NA,NA,NA,Periodicals.,6231654,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Seely & Garbanati,1852,NA,Serial,American journal of photography,English,The American journal of photography,[FAL],ocm08704301,[TR1 .A511],the-american-journal-of-photography
The American journal of science and arts.,Began with: Vol. 2 in Apr. 1820; ceased with: v. 118 in 1879.,NA,American journal of science,New-Haven :,S. Converse,NA,"American journal of science, & c","Vols. for <18 -> include: Proceedings of the Boston Society of Natural History, later issued separately.",116 v. :,"ill., maps ;","Monthly,",Am. j. sci. arts,NA,NA,NA,"[Periodicals., Periodicals.]",1524133,New-Haven,"[Geology Periodicals., Science Periodicals., Industrial arts Periodicals.]",[Science -- Science (General) -- Periodicals. By language of publication],S. Converse,1820,1,Serial,American journal of science and arts,English,The American journal of science and arts,"[WID, CRL, FAR, MIC, FIG, NET, GRA, MCZ, CAB]",ocm05806102,[Q1 .A5],the-american-journal-of-science-and
"The American journal of science, & c.","Vol. 1, no. 1 ([July 1818])-v. 1, no. 4 ([May 1819]).",NA,American journal of science and arts,New York :,"J. Eastburn and Co.,",1818-1819.,NA,Continued in Apr. 1820 by: American journal of science and arts.,1 v. :,"ill., maps ;",Annual,Am. j. sci.,NA,NA,NA,"[Periodicals., Periodicals., Periodicals.]",1524136,New York,"[Science Periodicals., Natural history Periodicals., Geology Periodicals., Industrial arts Periodicals.]",[Science -- Science (General) -- Periodicals. By language of publication],J. Eastburn and Co.,1818,1,Serial,"American journal of science, & c",English,"The American journal of science, & c","[FIG, MCZ, CAB, NET]",ocm05731474,[Q1 .A5],the-american-journal-of-science-
The American journal of science.,"Vol. 119, no. 109 (Jan. 1880)-",NA,NA,New Haven :,"J.D. & E.S. Dana,",1880-,American journal of science and arts,NA,v. :,"ill., maps ;",10 no. a year,Am. j. sci.,NA,NA,NA,Periodicals.,127966,New Haven,[Science Periodicals.],[Science -- Science (General) -- Periodicals. By language of publication],J.D. & E.S. Dana,1880,1,Serial,American journal of science,English,The American journal of science,"[CRL, FAR, FIG, NET, GRA, CAB, MCZ]",ocm05694945,[Q1 .A5],the-american-journal-of-science
Annuaire photographique pour l'année ...,Began publication with 1865; ceased with 1870.,NA,NA,Paris :,"Garithier-Villars,",NA,NA,NA,6 v. :,ill.,Annual,NA,NA,NA,[microform].,Periodicals.,8521239,Paris,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Garithier-Villars,1865,NA,Serial,Annuaire photographique pour l'année,French,Annuaire photographique pour l'année,[FAL],ocm08658675,[TR1 .A62],annuaire-photographique-pour-lannee
Anthony's photographic bulletin.,"[Vol. 1, no. 1] (Feb. 1870)-v. 33 (Apr. 1902)",NA,"[Photographic times, Photographic times-bulletin]",New York :,"E. & H. T. Anthony & Co.,",[1870-1902],NA,"Merged with: Photographic times, to form: Photographic times-bulletin.",33 v. :,"ill., plates., ports. ;",Monthly,NA,NA,NA,NA,NA,2013939,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],E. & H. T. Anthony & Co.,1870,1,Serial,Anthony's photographic bulletin,English,Anthony's photographic bulletin,"[CRL, FAL, FIG]",ocm02444862,[TR1 .A6],anthonys-photographic-bulletin
The Photographic times :,"Vol. 26, no. 1 (Jan. 1895)-v. 34, no. 4 (Apr. 1902).",NA,Photographic times-bulletin,"New York, N.Y. :","Photographic Times Publishing Assn.,",1895-1902.,Photographic times and American photographer,NA,9 v. :,ill. ;,NA,NA,NA,NA,NA,Periodicals.,2011803,"New York, N.Y.",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Photographic Times Publishing Assn.,1895,1,Serial,Photographic times,English,The Photographic times,"[CRL, FAL, FIG]",ocm01606954,[TR1 .A62],the-photographic-times
Photographic times and American photographer.,"Vol. 11, no. 121 (Jan. 1881)-v. 25, no. 693 (Dec. 28, 1894).",NA,Photographic times (1895),New York :,"Scovill Manufacturing Co.,",1881-1894.,Photographic times (1871),NA,15 v. :,ill. ;,"Weekly,",NA,NA,NA,NA,Periodicals.,2017776,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Scovill Manufacturing Co.,1881,1,Serial,Photographic times and American photographer,English,Photographic times and American photographer,"[CRL, FAL, FIG]",ocm07225368,[TR1 .P8],photographic-times-and-american-photographer
The Photographic times.,"Vol. 1, no. 1 (1871)-v. 10 (1880).",NA,Photographic times and American photographer,"New York, N.Y. :","Scoville Manufacturing Co.,",1871-1880.,NA,NA,10 v. :,ill. ;,NA,NA,NA,NA,NA,Periodicals.,2016411,"New York, N.Y.",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Scoville Manufacturing Co.,1871,1,Serial,Photographic times,English,The Photographic times,"[CRL, FAL, FIG]",ocm07225320,[TR1 .A62],the-photographic-times
The Photographic times-bulletin.,"Vol. 34, no. 5 (May 1902)-v. 36, no. 12 (Dec. 1904).",NA,Photographic times (1905),New York :,"Photographic Times-Bulletin Publishing Assn.,",1902-1904.,"[Photographic times (1895), Anthony's photographic bulletin]",NA,3 v. :,ill. ;,Monthly,NA,NA,NA,NA,Periodicals.,2017779,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Photographic Times-Bulletin Publishing Assn.,1902,1,Serial,Photographic times-bulletin,English,The Photographic times-bulletin,"[CRL, FAL, FIG]",ocm08704100,[TR1 .P8],the-photographic-timesbulletin
The Photographic times.,"Vol. 37, no. 1 (Jan. 1905)-v. 47, no. 12 (Dec. 1915).",NA,Popular photography,New York :,"Photographic Times Publishing Assn.,",1905-1915.,Photographic times-bulletin,NA,11 v. :,ill. ;,Monthly,NA,NA,NA,NA,Periodicals.,2017777,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Photographic Times Publishing Assn.,1905,1,Serial,Photographic times,English,The Photographic times,"[CRL, FIG, FAL]",ocm09487896,[TR1 .P8],the-photographic-times
Art-union.,v. 1-10; Feb. 1839-1848.,NA,Art-journal,London.,NA,NA,NA,NA,10 v.,NA,NA,NA,NA,NA,NA,Periodicals.,2657812,London.,[Art Periodicals.],[Fine arts -- Visual arts -- Periodicals -- French],NA,1839,NA,Serial,Art-union,English,Art-union,"[CRL, FAL]",ocm06374098,[N2 .C35],artunion
L'Artiste.,"[Began publication with 1er sér., t. 1 (1831)., Ceased publication with 4 sér., t. 3 (juin 1845).]",NA,"[Revue de Paris, Artiste revue de Paris]",Paris :,"Aux bureaux de L'Artiste,",NA,NA,Merged with: Revue de Paris; to form: Artiste revue de Paris.,21 v. :,ill. ;,NA,NA,NA,NA,NA,NA,6240947,Paris,[Art.],[Fine arts -- Visual arts -- Periodicals -- French],Aux bureaux de L'Artiste,1831,NA,Serial,Artiste,French,L'Artiste,[FAL],ocm07718137,[N2 .A71],lartiste
